Add Jquery File,JQuery Datei hinzufügen
"Image Option","Optionsbilder"
"Enabled","Aktiv"
"Use the following option types","Auf die folgenden Optionstypen anwenden"
"Display Option Name","Optionstext anzeigen"
"Lowercase Filename","Kleingeschreibener Dateiname"
"Replace Spaces","Leerzeichen ersetzen"
"Replace spaces in optionname with underline ""_""","Leerzeichen durch Unterschrich ""_"" ersetzen"
"Replace Characters","Sonderzeichen übersetzen"
"List of characters that should be replaced in filename, e.g. $=_,%=-","Liste der zu übersetzenden Zeichen, z.B. $=_,%=-"
"Folder","Verzeichnis"
"Subpath, located in magento mediapath","Unterverzeichnis, unterhalb der Magento Mediaverzeichnisses"
"Filetype","Dateityp"
"Use Default Size","Standardgröße benutzen"
"Height","Höhe"
"Width","Breite"
"Default Height of Display Image","Standardhöhe des Bildes"
"Default Width of Display Image","Standardbreite des Bildes"
"Radio","Radio"
"Checkbox","Checkbox"
"Use Product Image Cache Folder","Cache-Verzeichnis der Produktbilder verwenden"
"Resample Image","Bildgröße an Standardgröße anpassen"
"No: Image will be stretched","Nein: Bild wird gedehnt"
Only Image,Nur Bild
"Subfolders","Unterverzeichnis"
"Only Rootfolder","Nur Hauptverzeichnis"
"SKU","Artikelnummer"
"Title of Option","Titel der Option"
"SKU and Title of Option","Artikelnummer und Titel der Option"
"Display Order","Anzeigereihenfolge"
"Image","Bild"
"Text","Text"
